Titulo_marcador,Tipo,Provincia,Localidade,Centro_ou_sede,Enderezo_para_Google,Universidade,Campus,Familias_ou_ramas,Modalidades,Numero_de_estudos,Estudos,Prazas_total_indicadas,Fontes,Nota_de_rigor
Escola Superior de Enxeñaría Informática · Ourense,Doutoramento,Ourense,Ourense,Escola Superior de Enxeñaría Informática,"Escola Superior de Enxeñaría Informática, Ourense, Ourense, Galicia, España",Universidade de Vigo,Campus de Ourense,Área académica de estudos de Máster e Doutoramento de Ourense,Universidade,1,Programa de Doutoramento en Sistemas Software Intelixentes e Adaptables,,https://secretaria.uvigo.gal/uv/web/convocatoria/public/show/1785,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Facultade de Ciencias · Ourense,Doutoramento,Ourense,Ourense,Facultade de Ciencias,"Facultade de Ciencias, Ourense, Ourense, Galicia, España",Universidade de Vigo,Campus de Ourense,Área académica de estudos de Máster e Doutoramento de Ourense,Universidade,2,"Programa de Doutoramento en Ciencia e Tecnoloxía Agroalimentaria || Programa de Doutoramento en Ecosistemas Terrestres, Usos Sustentables e Implicacións Ambientais",,https://secretaria.uvigo.gal/uv/web/convocatoria/public/show/1785,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Facultade de Ciencias Empresariais e Turismo · Ourense,Doutoramento,Ourense,Ourense,Facultade de Ciencias Empresariais e Turismo,"Facultade de Ciencias Empresariais e Turismo, Ourense, Ourense, Galicia, España",Universidade de Vigo,Campus de Ourense,Área académica de estudos de Máster e Doutoramento de Ourense,Universidade,1,Programa de Doutoramento en Turismo,,https://secretaria.uvigo.gal/uv/web/convocatoria/public/show/1785,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Facultade de Ciencias da Educación e Traballo Social · Ourense,Doutoramento,Ourense,Ourense,Facultade de Ciencias da Educación e Traballo Social,"Facultade de Ciencias da Educación e Traballo Social, Ourense, Ourense, Galicia, España",Universidade de Vigo,Campus de Ourense,Área académica de estudos de Máster e Doutoramento de Ourense,Universidade,2,Programa de Doutoramento en Ciencias Sociais e Envellecemento || Programa de Doutoramento en Ciencias da Educación e do Comportamento,,https://secretaria.uvigo.gal/uv/web/convocatoria/public/show/1785,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Facultade de Dereito · Ourense,Doutoramento,Ourense,Ourense,Facultade de Dereito,"Facultade de Dereito, Ourense, Ourense, Galicia, España",Universidade de Vigo,Campus de Ourense,Área académica de estudos de Máster e Doutoramento de Ourense,Universidade,1,"Programa de Doutoramento en Auga, Sustentabilidade e Desenvolvemento (Campus AUGA)",,https://secretaria.uvigo.gal/uv/web/convocatoria/public/show/1785,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Escola de Enxeñaría Forestal · Pontevedra,Doutoramento,Pontevedra,Pontevedra,Escola de Enxeñaría Forestal,"Escola de Enxeñaría Forestal, Pontevedra, Pontevedra, Galicia, España",Universidade de Vigo,Campus de Pontevedra,Área académica de estudos de Máster e Doutoramento de Pontevedra,Universidade,1,Programa de Doutoramento en Creatividade e Innovación Social e Sustentable (Campus CREA),,https://secretaria.uvigo.gal/uv/web/convocatoria/public/show/1785,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Facultade de Belas Artes · Pontevedra,Doutoramento,Pontevedra,Pontevedra,Facultade de Belas Artes,"Facultade de Belas Artes, Pontevedra, Pontevedra, Galicia, España",Universidade de Vigo,Campus de Pontevedra,Área académica de Belas Artes,Universidade,1,Programa de Doutoramento en Creación e Investigación en Arte Contemporánea,,https://secretaria.uvigo.gal/uv/web/convocatoria/public/show/1785,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Facultade de Ciencias da Educación e do Deporte · Pontevedra,Doutoramento,Pontevedra,Pontevedra,Facultade de Ciencias da Educación e do Deporte,"Facultade de Ciencias da Educación e do Deporte, Pontevedra, Pontevedra, Galicia, España",Universidade de Vigo,Campus de Pontevedra,Área académica de estudos de Máster e Doutoramento de Pontevedra,Universidade,3,"Programa de Doutoramento en Ciencias do Deporte, Educación Física e Actividade Física Saudable || Programa de Doutoramento en Educación, Deporte e Saúde || Programa de Doutoramento en Equidade e Innovación en Educación",,https://secretaria.uvigo.gal/uv/web/convocatoria/public/show/1785,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Facultade de Fisioterapia · Pontevedra,Doutoramento,Pontevedra,Pontevedra,Facultade de Fisioterapia,"Facultade de Fisioterapia, Pontevedra, Pontevedra, Galicia, España",Universidade de Vigo,Campus de Pontevedra,Área académica de estudos de Máster e Doutoramento de Pontevedra,Universidade,1,Programa de Doutoramento en Investigación Sanitaria,,https://secretaria.uvigo.gal/uv/web/convocatoria/public/show/1785,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Escola de Enxeñaría Industrial · Vigo,Doutoramento,Pontevedra,Vigo,Escola de Enxeñaría Industrial,"Escola de Enxeñaría Industrial, Vigo, Pontevedra, Galicia, España",Universidade de Vigo,Campus de Vigo,Área académica de estudos de Máster e Doutoramento do Ámbito Tecnolóxico de Vigo,Universidade,3,Programa de Doutoramento Interuniversitario en Eficiencia Enerxética e Sustentabilidade en Enxeñaría e Arquitectura || Programa de Doutoramento en Enxeñaría Química || Programa de Doutoramento en Investigación en Tecnoloxías e Procesos Avanzados na Industria,,https://secretaria.uvigo.gal/uv/web/convocatoria/public/show/1785,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
